Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Shipping_lead_time,Region_Route,State_Route,efficiency_score
1,US-2021-103800-CHO-MIL-31000,2024-03-01,2026-06-30,Standard Class,103800,United States,Houston,Texas,77095,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,851.0,Factory->Interior,Factory->Texas,0.8239644970414202
2,US-2021-112326-CHO-TRI-54000,2024-04-01,2026-07-01,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,821.0,Factory->Interior,Factory->Illinois,0.8461538461538461
3,US-2021-112326-CHO-NUT-13000,2024-04-01,2026-07-01,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,821.0,Factory->Interior,Factory->Illinois,0.8461538461538461
4,US-2021-112326-CHO-SCR-58000,2024-04-01,2026-07-01,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,821.0,Factory->Interior,Factory->Illinois,0.8461538461538461
5,US-2021-141817-CHO-TRI-54000,2024-05-01,2026-07-05,Standard Class,141817,United States,Philadelphia,Pennsylvania,19143,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,795.0,Factory->Atlantic,Factory->Pennsylvania,0.8653846153846154
6,US-2021-167199-CHO-SCR-58000,2024-06-01,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,32.4,9,22.5,9.9,762.0,Factory->Gulf,Factory->Kentucky,0.8897928994082841
7,US-2021-167199-CHO-TRI-54000,2024-06-01,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,762.0,Factory->Gulf,Factory->Kentucky,0.8897928994082841
8,US-2021-106054-CHO-MIL-31000,2024-06-01,2026-06-30,First Class,106054,United States,Athens,Georgia,30605,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,759.0,Factory->Gulf,Factory->Georgia,0.8920118343195267
9,US-2021-167199-CHO-NUT-13000,2024-06-01,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,762.0,Factory->Gulf,Factory->Kentucky,0.8897928994082841
10,US-2021-167199-CHO-MIL-31000,2024-06-01,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,762.0,Factory->Gulf,Factory->Kentucky,0.8897928994082841
11,US-2021-167199-CHO-MIL-31000,2024-06-01,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,762.0,Factory->Gulf,Factory->Kentucky,0.8897928994082841
12,US-2021-130813-CHO-MIL-31000,2024-06-01,2026-07-01,Second Class,130813,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,760.0,Factory->Pacific,Factory->California,0.8912721893491125
13,US-2021-167199-CHO-SCR-58000,2024-06-01,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,762.0,Factory->Gulf,Factory->Kentucky,0.8897928994082841
14,US-2021-167199-CHO-FUD-51000,2024-06-01,2026-07-03,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,762.0,Factory->Gulf,Factory->Kentucky,0.8897928994082841
15,US-2021-105417-CHO-MIL-31000,2024-07-01,2026-07-05,Standard Class,105417,United States,Huntsville,Texas,77340,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,734.0,Factory->Interior,Factory->Texas,0.9105029585798817
16,US-2021-105417-CHO-TRI-54000,2024-07-01,2026-07-05,Standard Class,105417,United States,Huntsville,Texas,77340,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,734.0,Factory->Interior,Factory->Texas,0.9105029585798817
17,US-2021-135405-CHO-TRI-54000,2024-09-01,2026-07-06,Standard Class,135405,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,673.0,Factory->Interior,Factory->Texas,0.955621301775148
18,US-2021-135405-CHO-TRI-54000,2024-09-01,2026-07-06,Standard Class,135405,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,673.0,Factory->Interior,Factory->Texas,0.955621301775148
19,US-2021-149020-CHO-MIL-31000,2024-10-01,2026-07-08,Standard Class,149020,United States,Springfield,Virginia,22153,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,645.0,Factory->Gulf,Factory->Virginia,0.9763313609467457
20,US-2021-149020-OTH-GUM-21000,2024-10-01,2026-07-08,Standard Class,149020,United States,Springfield,Virginia,22153,Other,Gulf,OTH-GUM-21000,Wonka Gum,1.25,1,0.65,0.6,645.0,Factory->Gulf,Factory->Virginia,0.9763313609467457
21,US-2021-130092-CHO-MIL-31000,2024-11-01,2026-07-07,First Class,130092,United States,Dover,Delaware,19901,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,613.0,Factory->Atlantic,Factory->Delaware,1.0
